dataset,embA,evalTypeA,embB,evalTypeB,rho,pearsons,rho_pairs,ds_pairs
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,/data/corpora/nasari/UMBC_w2v.vec,word-based,0.6469400031556526,0.6878413982493938,194,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,0.4111691193113668,0.44953197049615495,188,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/kcap-swivel_alt_10e/embedding.tsv,concept-based,0.647265461383397,0.6910082645483329,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,0.6920001755095869,0.7690387696555933,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/ft/model.vec,word-based,0.745966587710568,0.8019294880923634,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.7026296390792628,0.7492077557641732,204,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/UNv1.0/en-es/en/vec/glove/vectors.txt,word-based,0.5741329512981787,0.6872727699145929,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,0.5947319576919958,0.6291310314740114,197,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,word-based,0.8117659677159867,0.8654588393382907,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.8031156729999273,0.8240252244153273,202,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,word-based,0.326346452926505,0.4572869815717738,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,0.8148128245587466,0.8592977973491669,170,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,1.0,1.0,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,0.6142418308305323,0.6685717651155035,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,0.7052733812723461,0.6925095078145798,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,0.6672352155807938,0.7508537463153695,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,0.7007635675489007,0.7812441172517047,173,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,0.5209805850736736,0.5789119710771647,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,0.8129515732702819,0.8672159735858874,170,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/glove/vectors.txt,word-based,0.5192123798333911,0.6072540267933789,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,concept-based,0.685267878440914,0.704636996643824,136,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,0.342365576719628,0.36736368872058955,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/nasari/UMBC_w2v.vec,word-based,0.7351156378345739,0.7751580312833138,205,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,0.43717469832849315,0.46348277806692,195,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,/data/corpora/wikipedia/en/vec/kcap-swivel_alt_10e/embedding.tsv,concept-based,0.6274411794852977,0.6681082139082206,168,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,0.7230337197142638,0.7335044606330114,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/ft/model.vec,word-based,0.7698469652052494,0.7487306282335578,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.77805362647662,0.7323554538027567,178,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/glove/vectors.txt,word-based,0.5336577063370856,0.6145064603732413,168,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,0.717986009523662,0.7246806563936266,178,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,word-based,0.6267539301290883,0.6855340055772507,177,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.5974684985939053,0.6490958655156341,168,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,word-based,0.37826225849916806,0.5522827680076522,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,0.6553355457345099,0.6873211401638386,168,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,0.6142418308305323,0.6685717651155035,168,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,1.0,1.0,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,0.7760255725403856,0.8775498692511714,174,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,0.7779285028270979,0.7474582282275739,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,0.7788767898178465,0.7742674346226398,179,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,0.8155376514453149,0.8877701898622328,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,0.6616007111742342,0.7327168966441115,168,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/glove/vectors.txt,word-based,0.5241188371846078,0.6377670163083532,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,concept-based,0.733262707510919,0.753196591229877,138,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,0.3469546595389096,0.2798755243446721,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/nasari/UMBC_w2v.vec,word-based,0.6686667314836702,0.6626414256201341,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,0.5846756273350151,0.5659095237933485,173,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/kcap-swivel_alt_10e/embedding.tsv,concept-based,0.9229558365318619,0.9639591308708217,180,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,0.6087108551682792,0.6153927318411236,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/ft/model.vec,word-based,0.6629539502047551,0.6259208689565389,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.6621279897459365,0.6099896052932908,172,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/glove/vectors.txt,word-based,0.6243146882129205,0.6658039613376037,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,0.5921404836097697,0.5708782719377058,172,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,word-based,0.7563506396186884,0.7477299625143745,172,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.6949411098493306,0.6918858838056279,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,word-based,0.36659876408576386,0.5177655882859686,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,0.7742241352102092,0.7300791867486007,167,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,0.7052733812723461,0.6925095078145798,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,0.7760255725403856,0.8775498692511714,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,1.0,1.0,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,0.6913853322453334,0.6489091733229833,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,0.6783934826129787,0.6499703543821913,173,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,0.713849970329384,0.8232661428633119,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,0.7549755898661024,0.7485949427067082,167,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/glove/vectors.txt,word-based,0.4925251160770457,0.5298613891532183,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,concept-based,0.8502300859502989,0.8007100797317507,138,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,0.3272148874653352,0.1957557177095798,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/nasari/UMBC_w2v.vec,word-based,0.5948368601103391,0.5426554971193229,174,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,0.4609115337841541,0.43708323017463124,168,287
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,/data/corpora/wikipedia/en/vec/kcap-swivel_alt_10e/embedding.tsv,concept-based,0.7461432491984166,0.8481599778944091,174,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,0.8411770752563176,0.8787749070300832,287,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/ft/model.vec,word-based,0.8357611476948005,0.8817331340993837,270,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.8479486338285616,0.8707432712735859,252,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/UNv1.0/en-es/en/vec/glove/vectors.txt,word-based,0.5462116046660477,0.6079205002945341,205,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,0.7142156931994588,0.7597917616899216,276,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,word-based,0.6003712042466749,0.7093249996734287,278,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.6561869403799955,0.7259699222804902,202,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,word-based,0.4205967474271299,0.5017303738609306,180,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,0.6011403082020668,0.680867424463661,194,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,0.6672352155807938,0.7508537463153695,205,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,0.7779285028270979,0.7474582282275739,180,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,0.6913853322453334,0.6489091733229834,174,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,1.0,1.0,287,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,0.7656937471543552,0.8257866353514296,240,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,0.6461330794157248,0.6516427279590652,180,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,0.6567948431377706,0.7430006887466245,194,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/glove/vectors.txt,word-based,0.503019399144143,0.5786342155272424,270,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,concept-based,0.6453563902289783,0.650328694842252,138,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,0.4186738189298528,0.4742221039616743,278,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/nasari/UMBC_w2v.vec,word-based,0.7480440667168369,0.8309144836100507,287,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,0.5593732859141917,0.5456223606232189,273,287
EN_MTurk-287.ws.tab,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,/data/corpora/wikipedia/en/vec/kcap-swivel_alt_10e/embedding.tsv,concept-based,0.7788386255117188,0.7668469586781542,180,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/home/rdenaux/nbs/expsys/.vector_cache/wiki.en.vec,word-based,0.7922532475621303,0.8301042806788675,240,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/ft/model.vec,word-based,0.8102004587653309,0.864932156941782,229,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.8271734790877472,0.875837028065117,213,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/UNv1.0/en-es/en/vec/glove/vectors.txt,word-based,0.5424829330079277,0.6247266745133656,173,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,0.6338937585777334,0.7133437634894975,238,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,word-based,0.6109377102174408,0.7046380392905665,235,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_basic_8e/embedding.tsv,word-based,0.6118194396278108,0.6901563609263868,171,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,word-based,0.37377793168239254,0.5021688894781009,179,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/UNv1.0/en-es/en/vec/20160829_lemma/embedding.tsv,word-based,0.6873257816814367,0.7729957501171739,194,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/UNv1.0/en-es/en/vec/UN.en-es.en_ft_20180213.vec,word-based,0.7007635675489007,0.7812441172517046,173,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,concept-based,0.7788767898178466,0.7742674346226398,179,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,0.6783934826129787,0.6499703543821912,173,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/home/rdenaux/nbs/expsys/.vector_cache/glove.840B.300d.txt,word-based,0.7656937471543552,0.8257866353514296,240,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,1.0,1.0,240,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,0.6130834218663963,0.6497853783518903,179,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,word-based,0.6858350645593915,0.790992613702154,194,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/glove/vectors.txt,word-based,0.5131701423811331,0.6380410319606732,229,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/home/rdenaux/nbs/expsys/regul_vec/en/original/embedding.tsv,concept-based,0.6483792971969617,0.6698641780642275,138,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,word-based,0.4214714330824863,0.46893312198225656,235,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/nasari/UMBC_w2v.vec,word-based,0.7469425454185603,0.7879493911953624,240,287
EN_MTurk-287.ws.tab,/data/corpora/wikipedia/en/vec/swivel_regul_loss_bf1e-4_25e/embedding.tsv,word-based,/data/corpora/nasari/NASARIembed-UMBC_w2v.vec,concept-based,0.5110667706113199,0.516844637759721,233,287
